ID,STATE_CODE,CITY,LAT,LONG,POP
4067557,AL,Hodges,34.32704,-87.92642,285
4067623,AL,Hokes Bluff,33.99815,-85.86636,4301
4067725,AL,Hollins,33.11762,-86.14442,545
4067752,AL,Hollis Crossroads,33.52372,-85.63718,608
4067784,AL,Holly Pond,34.17426,-86.61638,812
4067814,AL,Hollywood,34.72425,-85.97248,974
4067815,AL,Hollywood,33.47288,-86.78304,930
4067840,AL,Holt,33.23401,-87.48445,3638
4067862,AL,Holtville,32.63624,-86.32664,4096
4067927,AL,Homewood,33.47177,-86.80082,25708
4067994,AL,Hoover,33.40539,-86.81138,84848
4068149,AL,Horn Hill,31.24573,-86.31662,229
4068226,AL,Horton,34.20093,-86.29692,4450
4068446,AL,Hueytown,33.45122,-86.99666,15710
4068506,AL,Huguley,32.83457,-85.22966,2540
4068590,AL,Huntsville,34.7304,-86.58594,215006
4068707,AL,Hurtsboro,32.24181,-85.41633,600
4068761,AL,Hytop,34.9162,-86.08804,349
4068778,AL,Ider,34.71425,-85.6808,716
4068933,AL,Indian Springs Village,33.35539,-86.75443,2523
4069210,AL,Inverness,32.01488,-85.74606,1621
4069243,AL,Irondale,33.53816,-86.70721,12423
4069309,AL,Ivalee,34.03454,-86.14525,879
4069458,AL,Jackson,31.50905,-87.89444,4967
4069545,AL,Jacksons Gap,32.88624,-85.81163,828
4069553,AL,Jacksonville,33.81382,-85.7613,12222
4069659,AL,Jasper,33.83122,-87.27751,14071
4069722,AL,Jemison,32.95985,-86.74665,2619
4070318,AL,Joppa,34.29787,-86.5561,501
4070324,AL,Joquin,31.78654,-86.16412,501
4070478,AL,Kansas,33.90177,-87.55196,221
4070603,AL,Kellyton,32.97984,-86.03358,200
4070649,AL,Kennedy,33.58706,-87.98447,428
4070786,AL,Killen,34.86286,-87.53753,982
4070806,AL,Kimberly,33.77344,-86.81388,2892
4070997,AL,Kinsey,31.29906,-85.34438,2197
4071000,AL,Kinston,31.216,-86.17106,540
4071262,AL,Ladonia,32.4682,-85.0791,3142
4071267,AL,Lafayette,32.89985,-85.40106,3003
4071488,AL,Lake Purdy,33.43011,-86.68054,7857
4071540,AL,Lake View,33.28067,-87.1375,2114
4071611,AL,Lakeview,34.39092,-85.97831,143
4071763,AL,Lanett,32.86874,-85.1905,6452
4071801,AL,Langston,34.53898,-86.07442,266
4072130,AL,Leeds,33.54816,-86.54443,11936
4072156,AL,Leesburg,34.17982,-85.76136,1014
4072183,AL,Leighton,34.70092,-87.52892,712
4072240,AL,Leroy,31.50461,-87.98472,911
4072250,AL,Lester,33.99926,-86.12109,110
4072251,AL,Lester,34.99064,-87.15335,121
4072271,AL,Level Plains,31.29962,-85.77799,2023
4072339,AL,Lexington,34.96925,-87.37113,723
4072543,AL,Libertyville,31.24156,-86.46134,116
4072752,AL,Linden,32.30625,-87.79807,2025
4072767,AL,Lincoln,33.61316,-86.11831,6524
4072814,AL,Lineville,33.31067,-85.75441,2319
4072834,AL,Lisman,32.16876,-88.28253,505
4072842,AL,Lipscomb,33.42566,-86.92666,2155
4073357,AL,Littleville,34.59065,-87.67697,990
4073358,AL,Littleville,34.25149,-87.57502,939
4073383,AL,Livingston,32.5843,-88.18725,3414
4073413,AL,Loachapoka,32.6043,-85.59329,190
4073483,AL,Lockhart,31.01046,-86.34967,519
4073504,AL,Locust Fork,33.9076,-86.61527,1192
4073771,AL,Louisville,31.7835,-85.55578,487
4073889,AL,Lowndesboro,32.27514,-86.61137,107
4073897,AL,Loxley,30.61825,-87.75305,1785
4073985,AL,Luverne,31.71655,-86.26385,2834
4074013,AL,Lynn,34.04705,-87.54974,641
4074076,AL,Macedonia,33.39151,-88.23337,292
4074267,AL,Madison,34.69926,-86.74833,46962
4074307,AL,Madrid,31.03574,-85.39327,338
4074363,AL,Magnolia Springs,30.39964,-87.7761,791
4074407,AL,Malcolm,31.19128,-88.0075,187
